Number_of_Jumps,Tag_Est_X,Tag_Est_Y,Tag_Est_Z,Tag_Est_Roll,Tag_Est_Pitch,Tag_Est_Yaw,Translation_Error
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,49.981259619104605
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,49.981259619104605
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,49.981259619104605
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,49.981259619104605
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,49.981259619104605
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,49.981259619104605
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,49.981259619104605
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
1,-24.98121583377963,-14.988606519390427,84.93483038995647,3.1415900677109083,-5.119488145449913e-06,-7.514744959821772e-07,49.981259619104605
1,-0.00400355780047135,0.004164255966921821,50.0195102906674,3.1415103685515064,-7.912291343672748e-05,-1.5481604161296973e-07,0.020347504631922784
1,29.53431536253123,-0.00020894251932412019,120.32538654259038,-3.1415926236542546,-0.004302726346324503,-7.474085361582925e-09,59.53520456109207
