Number of Jumps,Est_X_Local,Est_Y_Local,Est_Z_Local,Est_Roll_Local,Est_Pitch_Local,Est_Yaw_Local,Est_X_World,Est_Y_World,Est_Z_World,Est_Roll_World,Est_Pitch_World,Est_Yaw_World,Tag_Est_X,Tag_Est_Y,Tag_Est_Z,Tag_Est_Roll,Tag_Est_Pitch,Tag_Est_Yaw,Error_World,Error_Local
1,-24.225546735002894,-13.84151938202014,99.45658398751031,3.141445618821374,-0.0002565885252847129,-3.6372022826254216e-05,24.973278571773943,15.036035379430984,-35.00037132936266,0.001054158504333435,0.0009331235144075579,2.5236459883491037e-05,-24.20279312133789,-13.852304458618164,99.45020294189453,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.002493667605953931,0.010032200484175746,0.07442141537424876
1,-49.91319293751211,13.402977039125645,72.17598924458785,-3.0782278104815077,-0.3434295814903151,-0.1856527039559152,29.982148825931404,-25.048188610548905,9.922247941527077,0.0034394154303775937,0.347069609831128,0.17564681209853536,-24.20279312133789,-13.852304458618164,99.45020294189453,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],20.928534852593415,16.412142959300255,0.07442141537424876
1,0.8408859447061164,1.0890716831011764,64.46412837592742,-3.1406855640118545,0.0006765734729334868,-1.1406034845973653e-05,0.0,0.0,0.0,0.0,-0.0,0.0,0.7972061038017273,1.1476950645446777,64.45020294189453,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.013460189073001061,0.07442141537424876
1,31.925918167989487,1.1008080678379564,134.30205331635048,-3.141285954446653,0.00819832221411161,-7.058442953920145e-05,-30.07388663343167,0.06715105598137927,-70.07489967516682,0.0005998763521795006,-0.007521789624199344,5.425810070954385e-05,30.79720687866211,1.1476950645446777,134.45021057128906,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.09798160104178066,0.11186534176428609,0.07442141537424876
1,1.8037725650789966,-18.60715162031891,94.01339169591036,-3.1349204021538055,-0.0006670225871665839,-0.00013224313974037573,24.973278571773943,15.036035379430984,-35.00037132936266,0.001054158504333435,0.0009331235144075579,2.5236459883491037e-05,1.8683395385742188,-17.988296508789062,94.19371795654297,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.002489852908688306,0.060116855672532665,0.7111904891298502
2,-53.69888481920158,11.782188904435268,70.06327148734019,-3.0783728427441064,-0.3436072293544748,-0.18545050370515298,54.97732774035432,-10.034947091161929,-25.272548932466997,0.00803670281794534,0.3480581006877252,0.1771315709621837,-53.685309154378984,11.790190456955997,70.05722819669907,[ 0.92541655 -0.16317591  0.34202012],[-0.17364818 -0.98480773  0.        ],[ 0.33682406 -0.05939117 -0.93969262],0.09715881544777005,0.011880663570252636,0.7111904891298502
1,0.8408859447061164,1.0890716831011764,64.46412837592742,-3.1406855640118545,0.0006765734729334868,-1.1406034845973653e-05,0.0,0.0,0.0,0.0,-0.0,0.0,-53.685309154378984,11.790190456955997,70.05722819669907,[ 0.92541655 -0.16317591  0.34202012],[-0.17364818 -0.98480773  0.        ],[ 0.33682406 -0.05939117 -0.93969262],0.0,0.5960254832436078,0.7111904891298502
1,31.925918167989487,1.1008080678379564,134.30205331635048,-3.141285954446653,0.00819832221411161,-7.058442953920145e-05,-30.07388663343167,0.06715105598137927,-70.07489967516682,0.0005998763521795006,-0.007521789624199344,5.425810070954385e-05,-53.685309154378984,11.790190456955997,70.05722819669907,[ 0.92541655 -0.16317591  0.34202012],[-0.17364818 -0.98480773  0.        ],[ 0.33682406 -0.05939117 -0.93969262],0.09798923043631191,3.138696851582978,0.7111904891298502
1,-23.770478765049063,-16.188902822745703,84.70910920931425,3.1412013341982417,-0.0005695345203768685,-0.00010910854455588846,25.006210939679907,14.998595134728902,-34.989128363663774,0.00040168495928733275,0.0005624144087882916,0.00010886537340296502,-23.71554183959961,-16.226160049438477,84.70269012451172,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.00540761823769742,0.013909881650249645,0.024157949134624247
2,-53.69888481920158,11.782188904435268,70.06327148734019,-3.0783728427441064,-0.3436072293544748,-0.18545050370515298,54.97732774035432,-10.034947091161929,-25.272548932466997,0.00803670281794534,0.3480581006877252,0.1771315709621837,-23.71554183959961,-16.226160049438477,84.70269012451172,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.09715500075050443,3.369859949711838,0.024157949134624247
1,1.285140149656987,-1.2269152555132041,49.726826636031234,-3.141582349452186,-7.076241742865966e-06,-4.71918091016057e-07,0.0,0.0,0.0,0.0,-0.0,0.0,1.2844585180282593,-1.2261598110198975,49.70269012451172,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.0,0.02415735086051285,0.024157949134624247
1,31.925918167989487,1.1008080678379564,134.30205331635048,-3.141285954446653,0.00819832221411161,-7.058442953920145e-05,-30.07388663343167,0.06715105598137927,-70.07489967516682,0.0005998763521795006,-0.007521789624199344,5.425810070954385e-05,1.2844585180282593,-1.2261598110198975,49.70269012451172,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.09798923043631191,14.319606796933783,0.024157949134624247
1,-7.869631274897725,-13.454184383973482,93.92231127741671,3.13557156875821,-0.0033597148381098816,-0.0004835770056309037,25.006210939679907,14.998595134728902,-34.989128363663774,0.00040168495928733275,0.0005624144087882916,0.00010886537340296502,-7.543886184692383,-14.018503189086914,93.8059310913086,[1. 0. 0.],[ 0. -1.  0.],[ 0.  0. -1.],0.00540761823769742,0.05970649448573795,0.6010186716279329
